,A,B,C,D,E,F,G,H,I,J
A,8.35,4.35,2.92,4.92,6.51,3.18,3.16,5.380000000000001,2.7300000000000004,0.74
B,7.880000000000001,8.28,2.37,5.08,4.24,6.36,9.549999999999999,5.590000000000001,8.219999999999999,2.79
C,4.31,4.25,1.48,2.71,3.96,6.5200000000000005,0.06,7.79,2.62,0.22999999999999998
D,2.46,2.31,9.45,2.07,4.74,0.17,8.62,4.069999999999999,4.48,5.9799999999999995
E,0.29000000000000004,0.08,0.66,3.7199999999999998,7.54,9.459999999999999,0.07,4.28,1.33,3.81
F,6.720000000000001,7.5,4.79,7.73,3.76,3.2800000000000002,0.12,3.96,4.640000000000001,1.92
G,4.7299999999999995,2.3000000000000003,8.06,8.54,3.73,4.069999999999999,8.94,0.27,1.9700000000000002,7.09
H,6.41,3.03,0.68,5.7299999999999995,7.73,5.510000000000001,2.12,6.89,4.34,8.56
I,1.4000000000000001,5.92,3.46,0.64,2.52,2.04,8.77,0.27,1.32,3.35
J,7.92,9.399999999999999,0.8599999999999999,9.629999999999999,9.83,9.89,2.24,6.800000000000001,9.87,6.97
